company,year,function,destination,industry,origin,evidence_url,evidence_type,evidence_strength,reasons,raw_title,raw_summary,source
中金辐照(300962),2025,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2025-12-12/1224873132.PDF,上市公司公告,强,政策激励与补偿,中金辐照股份有限公司关于子公司收到<em>搬迁</em>补偿款的进展公告,中金辐照：中金辐照股份有限公司关于子公司收到<em>搬迁</em>补偿款的进展公告,cninfo
中航沈飞(600760),2025,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2025-12-04/1224846225.PDF,上市公司公告,强,,中航沈飞股份有限公司关于全资子公司签订国有建设用地使用权出让合同暨局部<em>搬迁</em>建设项目的进展公告,中航沈飞：中航沈飞股份有限公司关于全资子公司签订国有建设用地使用权出让合同暨局部<em>搬迁</em>建设项目的进展公告,cninfo
贵绳股份(600992),2025,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2025-12-04/1224847117.PDF,上市公司公告,强,政策激励与补偿,贵州钢绳股份有限公司关于签订《异地技改整体<em>搬迁</em>项目货币补偿协议（一）》暨关联交易的公告,贵绳股份：贵州钢绳股份有限公司关于签订《异地技改整体<em>搬迁</em>项目货币补偿协议（一）》暨关联交易的公告,cninfo
美心翼申(920833),2025,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2025-11-28/1224834928.PDF,上市公司公告,强,,[临时公告]美心翼申:关于子公司重庆棠立机械制造有限公司拟<em>搬迁</em>生产场所的进展公告,[临时公告]美心翼申:关于子公司重庆棠立机械制造有限公司拟<em>搬迁</em>生产场所的进展公告,cninfo
远航港口(08502),2025,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2025-11-25/1224827063.PDF,上市公司公告,强,,须予披露交易房产腾空、拆除与<em>搬迁</em>,远航港口：须予披露交易房产腾空、拆除与<em>搬迁</em>,cninfo
振华股份(603067),2025,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2025-11-25/1224821841.PDF,上市公司公告,强,政策激励与补偿,振华股份关于公司全资子公司获得新建项目环评批复以及签订<em>搬迁</em>收购、<em>搬迁</em>补偿协议的公告,振华股份：振华股份关于公司全资子公司获得新建项目环评批复以及签订<em>搬迁</em>收购、<em>搬迁</em>补偿协议的公告,cninfo
东方明珠(600637),2025,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2025-11-13/1224800012.PDF,上市公司公告,强,,东方明珠关于题桥发射台<em>搬迁</em>项目的进展公告,东方明珠：东方明珠关于题桥发射台<em>搬迁</em>项目的进展公告,cninfo
钱江生化(600796),2025,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2025-10-30/1224757478.PDF,上市公司公告,强,,关于生物农药原药及制剂退区入园<em>搬迁</em>项目投产的公告,钱江生化：关于生物农药原药及制剂退区入园<em>搬迁</em>项目投产的公告,cninfo
宏盛华源(601096),2025,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2025-10-15/1224711626.PDF,上市公司公告,强,政策激励与补偿,宏盛华源关于全资子公司土地收储的进展暨签订<em>搬迁</em>补偿协议的公告,宏盛华源：宏盛华源关于全资子公司土地收储的进展暨签订<em>搬迁</em>补偿协议的公告,cninfo
纽威股份(603699),2025,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2025-10-01/1224696153.PDF,上市公司公告,强,,纽威股份关于对外投资铸造项目及控股子公司<em>搬迁</em>的公告,纽威股份：纽威股份关于对外投资铸造项目及控股子公司<em>搬迁</em>的公告,cninfo
